1,ХљРђ27ФNНСР®Т≤НЄБ@ПђТnИжПWМvБ@БiСНЦ±П»УЭМvЛ«Бj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Сж3Х\Б@ФNЧоБi5НќКKЛЙБjБCТjПЧХ РlМыБCСНФNЧоЛyВ—ХљЛѕФNЧо(КOНСРlБ\УЅМfБjБ|ТђТЪБEОЪУЩ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,1) УъЦ{РlБEКOНСРlВћХ БuХsПЏБvВрК№ВёБB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,2) Ц≥НСР–ЛyВ—НСЦЉБuХsПЏБvВрК№ВёБB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,СНРФБiТjПЧХ Бj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Тj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ПЧ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ОsЛжТђСЇГRБ[Гh,ТђТЪОЪГRБ[Гh,ТnИжОѓХ Ф‘НЖ,ФйУљПИЧЭ,ФйУљРжПоХс,НЗОZТnИж,УsУєХ{МІЦЉ,ОsЛжТђСЇЦЉ,СеОЪБEТђЦЉ,ОЪБEТЪЦЏЦЉ,СНРФБiФNЧоБj 1),0Б`4Нќ,5Б`9Нќ,10Б`14Нќ,15Б`19Нќ,20Б`24Нќ,25Б`29Нќ,30Б`34Нќ,35Б`39Нќ,40Б`44Нќ,45Б`49Нќ,50Б`54Нќ,55Б`59Нќ,60Б`64Нќ,65Б`69Нќ,70Б`74Нќ,75Б`79Нќ,80Б`84Нќ,85Б`89Нќ,90Б`94Нќ,95Б`99Нќ,100НќИ»Пг,ФNЧоБuХsПЏБv,СНФNЧо,ХљЛѕФNЧо,БiНƒМfБj15НќЦҐЦЮ,БiНƒМfБj15Б`64Нќ,БiНƒМfБj65НќИ»Пг,БiНƒМfБj75НќИ»Пг,БiНƒМfБj85НќИ»Пг,БiНƒМfБjКOНСРl 2),СНРФБiФNЧоБj 1),0Б`4Нќ,5Б`9Нќ,10Б`14Нќ,15Б`19Нќ,20Б`24Нќ,25Б`29Нќ,30Б`34Нќ,35Б`39Нќ,40Б`44Нќ,45Б`49Нќ,50Б`54Нќ,55Б`59Нќ,60Б`64Нќ,65Б`69Нќ,70Б`74Нќ,75Б`79Нќ,80Б`84Нќ,85Б`89Нќ,90Б`94Нќ,95Б`99Нќ,100НќИ»Пг,ФNЧоБuХsПЏБv,СНФNЧо,ХљЛѕФNЧо,БiНƒМfБj15НќЦҐЦЮ,БiНƒМfБj15Б`64Нќ,БiНƒМfБj65НќИ»Пг,БiНƒМfБj75НќИ»Пг,БiНƒМfБj85НќИ»Пг,БiНƒМfБjКOНСРl 2),СНРФБiФNЧоБj 1),0Б`4Нќ,5Б`9Нќ,10Б`14Нќ,15Б`19Нќ,20Б`24Нќ,25Б`29Нќ,30Б`34Нќ,35Б`39Нќ,40Б`44Нќ,45Б`49Нќ,50Б`54Нќ,55Б`59Нќ,60Б`64Нќ,65Б`69Нќ,70Б`74Нќ,75Б`79Нќ,80Б`84Нќ,85Б`89Нќ,90Б`94Нќ,95Б`99Нќ,100НќИ»Пг,ФNЧоБuХsПЏБv,СНФNЧо,ХљЛѕФNЧо,БiНƒМfБj15НќЦҐЦЮ,БiНƒМfБj15Б`64Нќ,БiНƒМfБj65НќИ»Пг,БiНƒМfБj75НќИ»Пг,БiНƒМfБj85НќИ»Пг,БiНƒМfБjКOНСРl 2)
45,"44201","0110","2","","","","СеХ™МІ","СеХ™Оs","СеОЪФ®ТЖ","",5265,244,187,187,184,244,384,426,481,504,390,357,314,336,340,214,181,126,56,19,4,2,85,220449,43.0577220077,618,3620,942,388,81,40,3073,143,86,93,93,129,240,264,310,319,241,226,196,212,189,119,90,56,17,5,1,-,44,128140,42.8043908881,322,2230,477,169,23,26,2192,101,101,94,91,115,144,162,171,185,149,131,118,124,151,95,91,70,39,14,3,2,41,92309,43.4144583914,296,1390,465,219,58,14
46,"44201","0120","2","","","","СеХ™МІ","СеХ™Оs","СеОЪЙHЙЃ","",6851,375,355,368,366,281,326,439,476,542,438,441,501,470,436,286,255,208,130,51,17,2,88,288634,43.1783971610,1098,4280,1385,663,200,16,3252,212,196,188,191,139,142,194,244,251,204,196,229,212,211,134,101,84,53,12,5,1,53,130531,41.3036886527,596,2002,601,256,71,5,3599,163,159,180,175,142,184,245,232,291,234,245,272,258,225,152,154,124,77,39,12,1,35,158103,44.8611111111,502,2278,784,407,129,11
47,"44201","0130","2","","","","СеХ™МІ","СеХ™Оs","СеОЪМ√НСХ{","",6373,357,289,284,250,245,391,485,507,517,375,339,384,440,475,316,219,196,116,62,7,-,119,270682,43.7814198913,930,3933,1391,600,185,21,3041,190,152,138,140,117,185,233,251,252,175,170,175,199,215,131,93,86,37,20,1,-,81,122882,42.0141891892,480,1897,583,237,58,10,3332,167,137,146,110,128,206,252,256,265,200,169,209,241,260,185,126,110,79,42,6,-,38,147800,45.3694596236,450,2036,808,363,127,11
48,"44201","0140","2","","","","СеХ™МІ","СеХ™Оs","СеОЪЦq","",774,29,38,30,61,44,41,38,41,50,49,48,43,60,60,54,29,25,26,3,-,-,5,34347,45.1644993498,97,475,197,83,29,8,381,11,18,13,43,26,26,19,20,23,24,21,15,28,27,28,13,9,12,1,-,-,4,16118,43.2533156499,42,245,90,35,13,5,393,18,20,17,18,18,15,19,21,27,25,27,28,32,33,26,16,16,14,2,-,-,1,18229,47.0025510204,55,230,107,48,16,3
49,"44201","0150","2","","","","СеХ™МІ","СеХ™Оs","СеОЪЛ»","",1234,49,46,46,56,44,63,67,70,71,59,66,61,75,88,71,66,73,84,54,16,3,6,62834,51.6677524430,141,632,455,296,157,7,548,23,26,18,29,23,32,37,37,37,29,30,29,38,46,31,28,23,17,7,3,1,4,25134,46.7022058824,67,321,156,79,28,6,686,26,20,28,27,21,31,30,33,34,30,36,32,37,42,40,38,50,67,47,13,2,2,37700,55.6169590643,74,311,299,217,129,1
50,"44201","0160","2","","","","СеХ™МІ","СеХ™Оs","СеОЪТ√Оз","",3975,210,130,145,184,168,230,285,269,285,199,230,241,262,291,196,178,178,137,63,15,3,76,179729,46.5961785073,485,2353,1061,574,218,13,1873,109,61,83,94,72,115,140,146,141,82,111,116,125,141,92,75,63,37,18,5,-,47,80023,44.3242059146,253,1142,431,198,60,1,2102,101,69,62,90,96,115,145,123,144,117,119,125,137,150,104,103,115,100,45,10,3,29,99706,48.5974433189,232,1211,630,376,158,12
51,"44201","0170","2","","","","СеХ™МІ","СеХ™Оs","СеОЪХ–УЗ","",4592,270,214,224,198,193,301,352,339,394,268,221,236,309,321,263,190,131,79,25,5,-,59,192683,43.0067284359,708,2811,1014,430,109,10,2228,133,110,116,102,83,156,157,172,188,148,97,119,154,156,121,95,47,31,5,3,-,35,91477,42.2131782946,359,1376,458,181,39,6,2364,137,104,108,96,110,145,195,167,206,120,124,117,155,165,142,95,84,48,20,2,-,24,101206,43.7504273504,349,1435,556,249,70,4
52,"44201","0180","2","","","","СеХ™МІ","СеХ™Оs","СеОЪЙHУc","",4190,228,205,260,183,161,233,261,360,374,269,201,202,264,250,225,203,150,89,36,4,2,30,178803,43.4814903846,693,2508,959,484,131,12,1939,109,98,135,84,76,119,135,162,173,131,93,98,116,115,93,87,62,26,11,-,-,16,79680,41.9352574103,342,1187,394,186,37,5,2251,119,107,125,99,85,114,126,198,201,138,108,104,148,135,132,116,88,63,25,4,2,14,99123,44.8106839517,351,1321,565,298,94,7
53,"44201","0191","2","","","","СеХ™МІ","СеХ™Оs","ЙЇМSЦk","",1654,77,77,72,94,84,90,128,152,137,128,108,60,81,86,53,63,50,36,15,1,1,61,66104,41.9965473949,226,1062,305,166,53,-,760,42,38,35,41,43,36,54,70,63,57,51,27,42,44,22,25,20,12,1,1,-,36,29168,40.7872928177,115,484,125,59,14,-,894,35,39,37,53,41,54,74,82,74,71,57,33,39,42,31,38,30,24,14,-,1,25,36936,43.0040276180,111,578,180,107,39,-
54,"44201","019101","3","","","","СеХ™МІ","СеХ™Оs","ЙЇМSЦk","ВPТЪЦЏ",79,10,3,-,2,1,9,13,16,5,-,7,4,4,1,-,-,-,-,-,-,-,4,2452,33.1933333333,13,61,1,-,-,-,38,7,-,-,-,1,2,7,8,2,-,4,2,3,-,-,-,-,-,-,-,-,2,1203,33.9166666667,7,29,-,-,-,-,41,3,3,-,2,-,7,6,8,3,-,3,2,1,1,-,-,-,-,-,-,-,2,1249,32.5256410256,6,32,1,-,-,-
55,"44201","019102","3","","","","СеХ™МІ","СеХ™Оs","ЙЇМSЦk","ВQТЪЦЏ",435,15,18,22,28,32,18,22,31,26,40,24,13,18,21,24,20,18,20,10,-,1,14,18885,45.3574821853,55,252,114,69,31,-,192,7,12,10,9,20,7,8,16,14,17,10,7,9,6,10,7,7,7,-,-,-,9,7560,41.8114754098,29,117,37,21,7,-,243,8,6,12,19,12,11,14,15,12,23,14,6,9,15,14,13,11,13,10,-,1,5,11325,48.0840336134,26,135,77,48,24,-
56,"44201","019103","3","","","","СеХ™МІ","СеХ™Оs","ЙЇМSЦk","ВRТЪЦЏ",1140,52,56,50,64,51,63,93,105,106,88,77,43,59,64,29,43,32,16,5,1,-,43,44767,41.3085688241,158,749,190,97,22,-,530,28,26,25,32,22,27,39,46,47,40,37,18,30,38,12,18,13,5,1,1,-,25,20405,40.9059405941,79,338,88,38,7,-,610,24,30,25,32,29,36,54,59,59,48,40,25,29,26,17,25,19,11,4,-,-,18,24362,41.6520270270,79,411,102,59,15,-
57,"44201","0192","2","","","","СеХ™МІ","СеХ™Оs","ЙЇМSУМ","",1097,93,62,45,59,47,64,100,114,89,93,70,39,59,50,42,25,17,6,3,-,-,20,40386,37.9986072423,200,734,143,51,9,9,535,42,34,26,25,22,25,54,66,35,49,36,21,26,24,20,11,6,1,2,-,-,10,19450,37.5476190476,102,359,64,20,3,5,562,51,28,19,34,25,39,46,48,54,44,34,18,33,26,22,14,11,5,1,-,-,10,20936,38.4275362319,98,375,79,31,6,4
58,"44201","019201","3","","","","СеХ™МІ","СеХ™Оs","ЙЇМSУМ","ВPТЪЦЏ",618,69,51,23,34,31,41,62,67,41,56,33,24,31,19,14,10,3,1,1,-,-,7,20409,33.9026186579,143,420,48,15,2,8,300,31,30,15,10,18,16,32,38,14,27,16,15,12,8,8,4,1,-,1,-,-,4,9752,33.4459459459,76,198,22,6,1,4,318,38,21,8,24,13,25,30,29,27,29,17,9,19,11,6,6,2,1,-,-,-,3,10657,34.3317460317,67,222,26,9,1,4
59,"44201","019202","3","","","","СеХ™МІ","СеХ™Оs","ЙЇМSУМ","ВQТЪЦЏ",479,24,11,22,25,16,23,38,47,48,37,37,15,28,31,28,15,14,5,2,-,-,13,19977,43.3690987124,57,314,95,36,7,1,235,11,4,11,15,4,9,22,28,21,22,20,6,14,16,12,7,5,1,1,-,-,6,9698,42.8493449782,26,161,42,14,2,1,244,13,7,11,10,12,14,16,19,27,15,17,9,14,15,16,8,9,4,1,-,-,7,10279,43.8713080169,31,153,53,22,5,-
60,"44201","0193","2","","","","СеХ™МІ","СеХ™Оs","ЙЇМSТЖЙЫ","",1797,124,108,114,82,83,108,155,151,159,120,127,81,71,76,63,54,26,22,13,2,2,56,66430,38.6562320505,346,1137,258,119,39,2,834,68,61,48,36,33,61,69,71,79,50,52,44,28,37,33,23,7,8,-,-,-,26,29491,36.9987623762,177,523,108,38,8,-,963,56,47,66,46,50,47,86,80,80,70,75,37,43,39,30,31,19,14,13,2,2,30,36939,40.0916398714,169,614,150,81,31,2
61,"44201","019301","3","","","","СеХ™МІ","СеХ™Оs","ЙЇМSТЖЙЫ","ВPТЪЦЏ",330,24,22,18,12,12,18,32,29,29,15,23,19,14,19,12,12,3,2,1,-,-,14,12096,38.7784810127,64,203,49,18,3,1,158,16,12,8,5,4,13,11,16,15,6,7,8,6,11,7,5,-,-,-,-,-,8,5392,36.4466666667,36,91,23,5,-,-,172,8,10,10,7,8,5,21,13,14,9,16,11,8,8,5,7,3,2,1,-,-,6,6704,40.8855421687,28,112,26,13,3,1
62,"44201","019302","3","","","","СеХ™МІ","СеХ™Оs","ЙЇМSТЖЙЫ","ВQТЪЦЏ",716,42,30,49,45,35,44,46,54,52,50,58,37,40,37,30,22,17,10,8,1,-,9,28639,41.0077793494,121,461,125,58,19,-,307,23,14,15,19,13,26,18,18,25,19,21,22,16,18,16,10,5,5,-,-,-,4,12135,40.5495049505,52,197,54,20,5,-,409,19,16,34,26,22,18,28,36,27,31,37,15,24,19,14,12,12,5,8,1,-,5,16504,41.3514851485,69,264,71,38,14,-
63,"44201","019303","3","","","","СеХ™МІ","СеХ™Оs","ЙЇМSТЖЙЫ","ВRТЪЦЏ",751,58,56,47,25,36,46,77,68,78,55,46,25,17,20,21,20,6,10,4,1,2,33,25695,36.2869080780,161,473,84,43,17,1,369,29,35,25,12,16,22,40,37,39,25,24,14,6,8,10,8,2,3,-,-,-,14,11964,34.2014084507,89,235,31,13,3,-,382,29,21,22,13,20,24,37,31,39,30,22,11,11,12,11,12,4,7,4,1,2,19,13731,38.3264462810,72,238,53,30,14,1
64,"44201","0194","2","","","","СеХ™МІ","СеХ™Оs","ЙЇМSУм","",2613,145,158,140,153,109,133,204,225,248,216,162,106,129,120,112,87,62,27,6,1,-,70,100361,39.9655918207,443,1685,415,183,34,4,1249,76,73,66,76,48,67,97,106,117,103,86,50,61,59,52,36,24,12,2,-,-,38,47154,39.4380677126,215,811,185,74,14,4,1364,69,85,74,77,61,66,107,119,131,113,76,56,68,61,60,51,38,15,4,1,-,32,53207,40.4451951952,228,874,230,109,20,-
65,"44201","019401","3","","","","СеХ™МІ","СеХ™Оs","ЙЇМSУм","ВPТЪЦЏ",268,19,22,17,14,8,8,13,41,28,20,16,5,13,5,12,14,7,5,-,-,-,1,10260,38.9269662921,58,166,43,26,5,-,122,12,8,7,2,5,5,3,22,13,10,9,2,6,3,6,4,2,3,-,-,-,-,4704,39.0573770492,27,77,18,9,3,-,146,7,14,10,12,3,3,10,19,15,10,7,3,7,2,6,10,5,2,-,-,-,1,5556,38.8172413793,31,89,25,17,2,-
66,"44201","019402","3","","","","СеХ™МІ","СеХ™Оs","ЙЇМSУм","ВQТЪЦЏ",283,13,12,20,22,10,16,19,23,18,32,27,17,10,8,6,6,11,3,-,-,-,10,10644,39.4890109890,45,194,34,20,3,1,128,7,7,9,11,3,8,8,11,6,15,12,6,6,3,3,1,5,2,-,-,-,5,4655,38.3455284553,23,86,14,8,2,1,155,6,5,11,11,7,8,11,12,12,17,15,11,4,5,3,5,6,1,-,-,-,5,5989,40.4266666667,22,108,20,12,1,-
67,"44201","019403","3","","","","СеХ™МІ","СеХ™Оs","ЙЇМSУм","ВRТЪЦЏ",446,28,31,21,30,16,28,46,27,46,29,20,24,26,20,18,15,5,7,3,1,-,5,17106,39.2891156463,80,292,69,31,11,-,203,11,10,12,17,5,14,22,9,23,13,10,12,15,8,7,7,2,1,1,-,-,4,7706,39.2236180905,33,140,26,11,2,-,243,17,21,9,13,11,14,24,18,23,16,10,12,11,12,11,8,3,6,2,1,-,1,9400,39.3429752066,47,152,43,20,9,-
68,"44201","019404","3","","","","СеХ™МІ","СеХ™Оs","ЙЇМSУм","ВSТЪЦЏ",317,20,15,11,12,11,22,37,26,32,18,22,13,30,20,11,4,4,3,-,-,-,6,12428,40.4614147910,46,223,42,11,3,1,149,6,7,6,6,5,10,16,12,16,7,14,7,14,11,5,2,1,-,-,-,-,4,5906,41.2310344828,19,107,19,3,-,1,168,14,8,5,6,6,12,21,14,16,11,8,6,16,9,6,2,3,3,-,-,-,2,6522,39.7891566265,27,116,23,8,3,-
69,"44201","019405","3","","","","СеХ™МІ","СеХ™Оs","ЙЇМSУм","ВTТЪЦЏ",1299,65,78,71,75,64,59,89,108,124,117,77,47,50,67,65,48,35,9,3,-,-,48,49923,40.4064748201,214,810,227,95,12,2,647,40,41,32,40,30,30,48,52,59,58,41,23,20,34,31,22,14,6,1,-,-,25,24183,39.3794212219,113,401,108,43,7,2,652,25,37,39,35,34,29,41,56,65,59,36,24,30,33,34,26,21,3,2,-,-,23,25740,41.4220985692,101,409,119,52,5,-
70,"44201","0195","2","","","","СеХ™МІ","СеХ™Оs","СеОЪЙЇМS","",6302,326,315,335,289,278,315,401,443,511,405,400,402,390,363,278,252,219,158,110,33,1,78,272890,44.3447943445,976,3834,1414,773,302,24,2915,147,149,184,134,136,152,200,224,258,201,181,191,184,170,112,103,78,43,19,5,-,44,119348,42.0701846047,480,1861,530,248,67,8,3387,179,166,151,155,142,163,201,219,253,204,219,211,206,193,166,149,141,115,91,28,1,34,153542,46.2924246943,496,1973,884,525,235,16
71,"44201","0200","2","","","","СеХ™МІ","СеХ™Оs","СеОЪР_Ни","",1663,53,65,68,47,50,54,62,96,97,84,94,117,150,169,140,106,105,63,35,3,-,5,86283,52.5404101327,186,851,621,312,101,4,785,25,35,37,26,28,24,33,39,53,45,47,58,67,73,67,42,44,27,10,1,-,4,39091,50.5524967990,97,420,264,124,38,2,878,28,30,31,21,22,30,29,57,44,39,47,59,83,96,73,64,61,36,25,2,-,1,47192,54.3107183580,89,431,357,188,63,2
72,"44201","0210","2","","","","СеХ™МІ","СеХ™Оs","СеОЪЛаТJФЧ","",443,16,24,18,6,5,14,24,37,37,19,28,29,35,47,31,24,28,12,8,1,-,-,22275,50.7821670429,58,234,151,73,21,1,217,6,11,12,3,2,10,10,14,23,10,19,8,19,22,13,15,10,7,2,1,-,-,10797,50.2557603687,29,118,70,35,10,-,226,10,13,6,3,3,4,14,23,14,9,9,21,16,25,18,9,18,5,6,-,-,-,11478,51.2876106195,29,116,81,38,11,1
73,"44201","0220","2","","","","СеХ™МІ","СеХ™Оs","СеОЪФ™Ф¶","",2623,93,102,113,100,93,119,114,143,163,153,150,175,179,225,158,152,160,140,62,22,1,6,132331,51.0659151700,308,1389,920,537,225,1,1187,47,56,51,50,32,62,54,73,78,70,72,78,82,113,66,68,62,45,19,4,-,5,57255,48.9390862944,154,651,377,198,68,-,1436,46,46,62,50,61,57,60,70,85,83,78,97,97,112,92,84,98,95,43,18,1,1,75076,52.8177700348,154,738,543,339,157,1
74,"44201","0230","2","","","","СеХ™МІ","СеХ™Оs","СеОЪРзНќ","",4289,168,166,162,172,136,171,256,266,275,238,248,275,335,438,313,245,178,110,71,18,2,46,207502,49.4045486684,496,2372,1375,624,201,9,2040,89,81,75,74,69,87,116,145,155,113,123,133,158,203,155,108,70,34,21,2,2,27,95605,47.9937903626,245,1173,595,237,59,2,2249,79,85,87,98,67,84,140,121,120,125,125,142,177,235,158,137,108,76,50,16,-,19,111897,50.6780269058,251,1199,780,387,142,7
75,"44201","0240","2","","","","СеХ™МІ","СеХ™Оs","СеОЪНВНи","",220,4,3,11,8,10,8,4,11,12,9,9,19,20,26,21,16,14,10,4,1,-,-,11954,54.8363636364,18,110,92,45,15,-,102,1,2,5,5,4,6,2,6,5,2,6,8,11,15,8,4,6,5,1,-,-,-,5372,53.1666666667,8,55,39,16,6,-,118,3,1,6,3,6,2,2,5,7,7,3,11,9,11,13,12,8,5,3,1,-,-,6582,56.2796610169,10,55,53,29,9,-
76,"44201","0250","2","","","","СеХ™МІ","СеХ™Оs","ЛаТrТђ","",3232,114,161,159,186,182,184,173,233,309,270,265,198,191,171,114,111,65,41,19,4,-,82,131443,42.2279365079,434,2191,525,240,64,16,1439,54,72,68,95,71,85,77,111,140,122,125,93,78,74,48,42,22,12,4,1,-,45,56750,41.2101865136,194,997,203,81,17,7,1793,60,89,91,91,111,99,96,122,169,148,140,105,113,97,66,69,43,29,15,3,-,37,74693,43.0358769932,240,1194,322,159,47,9
77,"44201","025001","3","","","","СеХ™МІ","СеХ™Оs","ЛаТrТђ","ВPТЪЦЏ",717,35,30,42,39,49,56,42,53,77,59,61,39,31,35,19,8,5,2,1,-,-,34,25665,38.0768667643,107,506,70,16,3,8,310,14,15,18,13,19,28,17,21,35,29,30,14,12,12,9,3,1,-,1,-,-,19,10880,37.8883161512,47,218,26,5,1,2,407,21,15,24,26,30,28,25,32,42,30,31,25,19,23,10,5,4,2,-,-,-,15,14785,38.2168367347,60,288,44,11,2,6
78,"44201","025002","3","","","","СеХ™МІ","СеХ™Оs","ЛаТrТђ","ВQТЪЦЏ",1240,49,84,74,60,64,59,73,103,150,113,99,63,66,52,36,35,17,10,4,-,-,29,47535,39.7526837325,207,850,154,66,14,5,532,26,35,30,21,22,22,33,46,70,48,42,31,30,20,13,14,7,3,2,-,-,17,20194,39.7116504854,91,365,59,26,5,3,708,23,49,44,39,42,37,40,57,80,65,57,32,36,32,23,21,10,7,2,-,-,12,27341,39.7830459770,116,485,95,40,9,2
79,"44201","025003","3","","","","СеХ™МІ","СеХ™Оs","ЛаТrТђ","ВRТЪЦЏ",469,11,20,17,25,29,29,26,27,30,38,47,34,34,25,14,20,15,9,6,1,-,12,20513,45.3862144420,48,319,90,51,16,1,197,5,10,7,12,11,12,10,14,11,14,25,19,14,12,6,8,3,-,-,-,-,4,8245,43.2202072539,22,142,29,11,-,1,272,6,10,10,13,18,17,16,13,19,24,22,15,20,13,8,12,12,9,6,1,-,8,12268,46.9696969697,26,177,61,40,16,-
80,"44201","025004","3","","","","СеХ™МІ","СеХ™Оs","ЛаТrТђ","ВSТЪЦЏ",462,10,17,22,20,20,22,21,31,33,39,36,37,34,25,28,28,14,10,7,1,-,7,21526,47.8098901099,49,293,113,60,18,2,214,5,8,11,9,6,10,10,19,16,21,17,18,11,14,13,11,5,4,1,-,-,5,9611,46.4856459330,24,137,48,21,5,1,248,5,9,11,11,14,12,11,12,17,18,19,19,23,11,15,17,9,6,6,1,-,2,11915,48.9349593496,25,156,65,39,13,1
81,"44201","025005","3","","","","СеХ™МІ","СеХ™Оs","ЛаТrТђ","ВTТЪЦЏ",344,9,10,4,42,20,18,11,19,19,21,22,25,26,34,17,20,14,10,1,2,-,-,16204,47.6046511628,23,223,98,47,13,-,186,4,4,2,40,13,13,7,11,8,10,11,11,11,16,7,6,6,5,-,1,-,-,7820,42.5430107527,10,135,41,18,6,-,158,5,6,2,2,7,5,4,8,11,11,11,14,15,18,10,14,8,5,1,1,-,-,8384,53.5632911392,13,88,57,29,7,-
82,"44201","0260","2","","","","СеХ™МІ","СеХ™Оs","ЛаТrУм","",2334,125,130,153,115,84,128,157,224,263,152,127,124,135,112,82,52,63,49,18,3,1,37,92592,40.8099695255,408,1509,380,186,71,11,1063,61,62,65,56,31,62,72,101,130,65,66,61,60,63,35,18,18,14,4,1,-,18,41042,39.7746411483,188,704,153,55,19,5,1271,64,68,88,59,53,66,85,123,133,87,61,63,75,49,47,34,45,35,14,2,1,19,51550,41.6741214058,220,805,227,131,52,6
83,"44201","026001","3","","","","СеХ™МІ","СеХ™Оs","ЛаТrУм","ВPТЪЦЏ",1343,76,70,83,61,54,77,89,140,137,93,73,68,79,55,39,35,42,35,10,2,1,24,53553,41.1012130402,229,871,219,125,48,4,609,33,29,40,35,16,35,41,64,71,42,37,33,32,31,15,14,13,10,2,1,-,15,23505,40.0707070707,102,406,86,40,13,3,734,43,41,43,26,38,42,48,76,66,51,36,35,47,24,24,21,29,25,8,1,1,9,30048,41.9455172414,127,465,133,85,35,1
84,"44201","026002","3","","","","СеХ™МІ","СеХ™Оs","ЛаТrУм","ВQТЪЦЏ",991,49,60,70,54,30,51,68,84,126,59,54,56,56,57,43,17,21,14,8,1,-,13,39039,40.4171779141,179,638,161,61,23,7,454,28,33,25,21,15,27,31,37,59,23,29,28,28,32,20,4,5,4,2,-,-,3,17537,39.3847006652,86,298,67,15,6,2,537,21,27,45,33,15,24,37,47,67,36,25,28,28,25,23,13,16,10,6,1,-,10,21502,41.3007590133,93,340,94,46,17,5
85,"44201","0270","2","","","","СеХ™МІ","СеХ™Оs","ПгЦмТђ","",1015,70,62,58,63,53,45,76,102,105,75,49,45,39,47,36,22,20,22,10,1,1,14,38484,38.9455544456,190,652,159,76,34,18,487,36,36,32,26,25,21,31,48,55,32,26,21,19,20,14,13,6,8,5,1,-,12,17659,37.6768421053,104,304,67,33,14,14,528,34,26,26,37,28,24,45,54,50,43,23,24,20,27,22,9,14,14,5,-,1,2,20825,40.0912547529,86,348,92,43,20,4
86,"44201","0280","2","","","","СеХ™МІ","СеХ™Оs","ПгЦмЛu","",1555,67,68,57,100,76,74,98,110,91,89,103,100,102,110,70,81,78,35,14,5,-,27,69030,45.6767015707,192,943,393,213,54,6,739,36,36,30,44,25,34,55,51,47,45,55,60,45,53,30,24,29,12,5,3,-,20,31397,44.1675938804,102,461,156,73,20,2,816,31,32,27,56,51,40,43,59,44,44,48,40,57,57,40,57,49,23,9,2,-,7,37633,47.0179233622,90,482,237,140,34,4
87,"44201","028001","3","","","","СеХ™МІ","СеХ™Оs","ПгЦмЛu","ВPТЪЦЏ",1039,43,45,43,69,48,48,63,69,67,68,73,62,72,76,45,52,42,23,7,4,-,20,45573,45.2232580962,131,639,249,128,34,3,512,24,25,23,39,16,21,33,32,34,31,45,39,34,38,19,16,16,9,3,2,-,13,21555,43.6963927856,72,324,103,46,14,1,527,19,20,20,30,32,27,30,37,33,37,28,23,38,38,26,36,26,14,4,2,-,7,24018,46.6884615385,59,315,146,82,20,2
88,"44201","028002","3","","","","СеХ™МІ","СеХ™Оs","ПгЦмЛu","ВQТЪЦЏ",516,24,23,14,31,28,26,35,41,24,21,30,38,30,34,25,29,36,12,7,1,-,7,23457,46.5844793713,61,304,144,85,20,3,227,12,11,7,5,9,13,22,19,13,14,10,21,11,15,11,8,13,3,2,1,-,7,9842,45.2363636364,30,137,53,27,6,1,289,12,12,7,26,19,13,13,22,11,7,20,17,19,19,14,21,23,9,5,-,-,-,13615,47.6107266436,31,167,91,58,14,2
89,"44201","0290","2","","","","СеХ™МІ","СеХ™Оs","ПгЦмЛuРЉ","",906,22,29,24,82,72,43,37,48,51,38,60,43,70,66,62,56,41,33,10,1,-,18,41818,47.5923423423,75,544,269,141,44,1,386,11,16,10,20,17,21,18,26,21,18,34,21,33,25,33,23,13,12,5,1,-,8,18222,48.7063492063,37,229,112,54,18,-,520,11,13,14,62,55,22,19,22,30,20,26,22,37,41,29,33,28,21,5,-,-,10,23596,46.7666666667,38,315,157,87,26,1
90,"44201","0300","2","","","","СеХ™МІ","СеХ™Оs","ПгЦмЛuУМ","",372,9,11,15,33,34,18,20,25,27,25,22,22,21,25,21,10,15,8,4,1,-,6,15988,44.1830601093,35,247,84,38,13,2,160,6,5,7,7,13,13,7,12,13,13,9,9,9,9,11,4,7,1,2,-,-,3,6810,43.8757961783,18,105,34,14,3,-,212,3,6,8,26,21,5,13,13,14,12,13,13,12,16,10,6,8,7,2,1,-,3,9178,44.4138755981,17,142,50,24,10,2
